#DO NOT EDIT THIS FILE. YOUR CHANGES WILL BE ERASED WHEN THE PLUGIN IS RELOADED.
#ItemName,ID,Damage
#https://www.digminecraft.com/lists/item_id_list_pc.php
acacia_boat,acacia_boat,0
acacia_button,acacia_button,0
acacia_door,acacia_door,0
acacia_fence,acacia_fence,0
acacia_fence_gate,acacia_fence_gate,0
acacia_leaves,acacia_leaves,0
acacia_log,acacia_log,0
acacia_planks,acacia_planks,0
acacia_pressure_plate,acacia_pressure_plate,0
acacia_sapling,acacia_sapling,0
acacia_sign,acacia_sign,0
acacia_slab,acacia_slab,0
acacia_stairs,acacia_stairs,0
acacia_trapdoor,acacia_trapdoor,0
acacia_wood,acacia_wood,0
activator_rail,activator_rail,0
allium,allium,0
ancient_debris,ancient_debris,0
andesite,andesite,0
andesite_slab,andesite_slab,0
andesite_stairs,andesite_stairs,0
andesite_wall,andesite_wall,0
anvil,anvil,0
apple,apple,0
armor_stand,armor_stand,0
arrow,arrow,0
azure_bluet,azure_bluet,0
baked_potato,baked_potato,0
bamboo,bamboo,0
barrel,barrel,0
barrier,barrier,0
basalt,basalt,0
beacon,beacon,0
bee_nest,bee_nest,0
beef,beef,0
beehive,beehive,0
beetroot,beetroot,0
beetroot_seeds,beetroot_seeds,0
beetroot_soup,beetroot_soup,0
bell,bell,0
birch_boat,birch_boat,0
birch_button,birch_button,0
birch_door,birch_door,0
birch_fence,birch_fence,0
birch_fence_gate,birch_fence_gate,0
birch_leaves,birch_leaves,0
birch_log,birch_log,0
birch_planks,birch_planks,0
birch_pressure_plate,birch_pressure_plate,0
birch_sapling,birch_sapling,0
birch_sign,birch_sign,0
birch_slab,birch_slab,0
birch_stairs,birch_stairs,0
birch_trapdoor,birch_trapdoor,0
birch_wood,birch_wood,0
black_banner,black_banner,0
black_bed,black_bed,0
black_carpet,black_carpet,0
black_concrete,black_concrete,0
black_concrete_powder,black_concrete_powder,0
black_dye,black_dye,0
black_glazed_terracotta,black_glazed_terracotta,0
black_shulker_box,black_shulker_box,0
black_stained_glass,black_stained_glass,0
black_stained_glass_pane,black_stained_glass_pane,0
black_terracotta,black_terracotta,0
black_wool,black_wool,0
blackstone,blackstone,0
blackstone_slab,blackstone_slab,0
blackstone_stairs,blackstone_stairs,0
blackstone_wall,blackstone_wall,0
blast_furnace,blast_furnace,0
blaze_powder,blaze_powder,0
blaze_rod,blaze_rod,0
blue_banner,blue_banner,0
blue_bed,blue_bed,0
blue_carpet,blue_carpet,0
blue_concrete,blue_concrete,0
blue_concrete_powder,blue_concrete_powder,0
blue_dye,blue_dye,0
blue_glazed_terracotta,blue_glazed_terracotta,0
blue_ice,blue_ice,0
blue_orchid,blue_orchid,0
blue_shulker_box,blue_shulker_box,0
blue_stained_glass,blue_stained_glass,0
blue_stained_glass_pane,blue_stained_glass_pane,0
blue_terracotta,blue_terracotta,0
blue_wool,blue_wool,0
bone,bone,0
bone_block,bone_block,0
bone_meal,bone_meal,0
book,book,0
bookshelf,bookshelf,0
bow,bow,0
bowl,bowl,0
brain_coral,brain_coral,0
brain_coral_block,brain_coral_block,0
brain_coral_fan,brain_coral_fan,0
bread,bread,0
brewing_stand,brewing_stand,0
brick,brick,0
brick_slab,brick_slab,0
brick_stairs,brick_stairs,0
brick_wall,brick_wall,0
bricks,bricks,0
brown_banner,brown_banner,0
brown_bed,brown_bed,0
brown_carpet,brown_carpet,0
brown_concrete,brown_concrete,0
brown_concrete_powder,brown_concrete_powder,0
brown_dye,brown_dye,0
brown_glazed_terracotta,brown_glazed_terracotta,0
brown_mushroom,brown_mushroom,0
brown_mushroom_block,brown_mushroom_block,0
brown_shulker_box,brown_shulker_box,0
brown_stained_glass,brown_stained_glass,0
brown_stained_glass_pane,brown_stained_glass_pane,0
brown_terracotta,brown_terracotta,0
brown_wool,brown_wool,0
bubble_coral,bubble_coral,0
bubble_coral_block,bubble_coral_block,0
bubble_coral_fan,bubble_coral_fan,0
bucket,bucket,0
cactus,cactus,0
cake,cake,0
campfire,campfire,0
carrot,carrot,0
carrot_on_a_stick,carrot_on_a_stick,0
cartography_table,cartography_table,0
carved_pumpkin,carved_pumpkin,0
cauldron,cauldron,0
chain,chain,0
chain_command_block,chain_command_block,0
chainmail_boots,chainmail_boots,0
chainmail_chestplate,chainmail_chestplate,0
chainmail_helmet,chainmail_helmet,0
chainmail_leggings,chainmail_leggings,0
charcoal,charcoal,0
chest,chest,0
